27-05- 2024 13:01:06 - __main__ - INFO - Element 262 gescraped.
27-05- 2024 13:01:06 - __main__ - INFO - Element 263 gescraped.
27-05- 2024 13:01:06 - __main__ - INFO - Element 264 gescraped.
27-05- 2024 13:01:06 - __main__ - INFO - Element 265 gescraped.
27-05- 2024 13:01:06 - __main__ - INFO - Element 266 gescraped.
27-05- 2024 13:01:07 - __main__ - INFO - Element 267 gescraped.
27-05- 2024 13:01:07 - __main__ - INFO - Element 268 gescraped.
27-05- 2024 13:01:07 - __main__ - INFO - Element 269 gescraped.
27-05- 2024 13:01:07 - __main__ - INFO - Element 270 gescraped.
27-05- 2024 13:01:07 - __main__ - INFO - Element 271 gescraped.
27-05- 2024 13:01:07 - __main__ - INFO - Element 272 gescraped.
27-05- 2024 13:01:07 - __main__ - INFO - Element 273 gescraped.
27-05- 2024 13:01:07 - __main__ - INFO - Element 274 gescraped.
27-05- 2024 13:01:07 - __main__ - INFO - Element 275 gescraped.
27-05- 2024 13:01:08 - __main__ - INFO - Element 276 gescraped.
27-05- 2024 13:01:08 - __main__ - INFO - Element 277 gescraped.
27-05- 2024 13:01:08 - __main__ - INFO - Element 278 gescraped.
27-05- 2024 13:01:08 - __main__ - INFO - Element 279 gescraped.
27-05- 2024 13:01:08 - __main__ - INFO - Element 280 gescraped.
27-05- 2024 13:01:08 - __main__ - INFO - Element 281 gescraped.
27-05- 2024 13:01:08 - __main__ - INFO - Element 282 gescraped.
27-05- 2024 13:01:08 - __main__ - INFO - Element 283 gescraped.
27-05- 2024 13:01:08 - __main__ - INFO - Element 284 gescraped.
27-05- 2024 13:01:09 - __main__ - INFO - Element 285 gescraped.
27-05- 2024 13:01:09 - __main__ - INFO - Element 286 gescraped.
27-05- 2024 13:01:09 - __main__ - INFO - Element 287 gescraped.
27-05- 2024 13:01:09 - __main__ - INFO - Element 288 gescraped.
27-05- 2024 13:01:09 - __main__ - INFO - Element 289 gescraped.
27-05- 2024 13:01:09 - __main__ - INFO - Element 290 gescraped.
27-05- 2024 13:01:09 - __main__ - INFO - Element 291 gescraped.
27-05- 2024 13:01:09 - __main__ - INFO - Element 292 gescraped.
27-05- 2024 13:01:09 - __main__ - INFO - Element 293 gescraped.
27-05- 2024 13:01:10 - __main__ - INFO - Element 294 gescraped.
27-05- 2024 13:01:10 - __main__ - INFO - Element 295 gescraped.
27-05- 2024 13:01:10 - __main__ - INFO - Element 296 gescraped.
27-05- 2024 13:01:10 - __main__ - INFO - Element 297 gescraped.
27-05- 2024 13:01:10 - __main__ - INFO - Element 298 gescraped.
27-05- 2024 13:01:10 - __main__ - INFO - Element 299 gescraped.
27-05- 2024 13:01:10 - __main__ - INFO - Element 300 gescraped.
27-05- 2024 13:01:10 - __main__ - INFO - Element 301 gescraped.
27-05- 2024 13:01:10 - __main__ - INFO - Element 302 gescraped.
27-05- 2024 13:01:11 - __main__ - INFO - Element 303 gescraped.
27-05- 2024 13:01:11 - __main__ - INFO - Element 304 gescraped.
27-05- 2024 13:01:11 - __main__ - INFO - Element 305 gescraped.
27-05- 2024 13:01:11 - __main__ - INFO - Element 306 gescraped.
